Country,Subject Descriptor,Units,Scale,2014,2015,2016,2017,2018,2019,2020
Argentina,Inflation, average consumer prices,Percent change,n/a,n/a,n/a,25.675,34.277,53.548,n/a
Australia,Inflation, average consumer prices,Percent change,1.485,1.277,1.972,1.934,1.61,1.431,1.823
Brazil,Inflation, average consumer prices,Percent change,9.03,8.74,3.446,3.665,3.733,3.555,3.305
Canada,Inflation, average consumer prices,Percent change,1.125,1.429,1.597,2.268,1.949,0.61,1.261
China,Inflation, average consumer prices,Percent change,1.988,1.441,2.003,1.558,2.105,2.903,3.046
France,Inflation, average consumer prices,Percent change,0.09,0.305,1.162,2.1,1.3,0.288,0.699
Germany,Inflation, average consumer prices,Percent change,0.671,0.375,1.711,1.951,1.346,0.322,1.183
India,Inflation, average consumer prices,Percent change,4.9,4.5,3.602,3.428,4.536,3.342,3.624
Indonesia,Inflation, average consumer prices,Percent change,6.361,3.527,3.809,3.292,2.82,2.87,2.937
Italy,Inflation, average consumer prices,Percent change,0.108,-0.05,1.326,1.243,0.634,0.24,0.655
Japan,Inflation, average consumer prices,Percent change,2.761,0.793,-0.114,0.468,0.979,0.477,0.227
Korea,Inflation, average consumer prices,Percent change,0.706,0.972,1.944,1.476,0.383,0.27,0.449
Mexico,Inflation, average consumer prices,Percent change,4.019,2.719,2.82,6.042,4.898,3.635,2.702
Russia,Inflation, average consumer prices,Percent change,15.534,7.042,3.683,2.878,4.47,3.088,2.988
Saudi Arabia,Inflation, average consumer prices,Percent change,2.2,1.272,2.029,-0.852,2.483,-1.212,0.872
South Africa,Inflation, average consumer prices,Percent change,4.575,6.341,5.273,4.62,4.13,2.432,3.163
Turkey,Inflation, average consumer prices,Percent change,7.671,7.775,11.144,16.332,15.177,12,12
United Kingdom,Inflation, average consumer prices,Percent change,1.461,0.04,0.66,2.683,2.478,1.791,1.186
United States,Inflation, average consumer prices,Percent change,0.121,1.261,2.138,2.44,1.812,0.62,2.238
European Union,Inflation, average consumer prices,Percent change,0.387,0.11,0.164,1.586,1.852,1.442,0.616
